country,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018","All-cause death count, 2019","All-cause death count, 2020","Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
United States,331002647,328239523,104.451,38.3,0,1.688,9.315,0,0,0.25,47.51,2810927,2839076,2852747,3424996,179.22
Russia,145934460,144373535,38.559,39.6,0,1.771,8.869,0,0,0.196,34.56,1824340,1827827,1800683,2124479,211.405
Japan,126476458,126264931,2.603,48.2,1,0.863,8.39,1,0,0.317,33.9,1340567,1362470,1387775,1376426,10.146
Brazil,212559409,211049527,91.715,33.5,0,0.657,9.666,0,0,0.115,54,1312663,1316719,1349802,1571383,115.667
Germany,83783945,83132799,40.331,46.6,0,4.838,9.018,0,1,0.435,31.1,929351,952295,936772,1000855,73.548
Mexico,128932753,127575529,97.576,29.3,0,0.848,9.434,0,0,0.129,47.5,701160,718206,728889,1045794,257.075
Italy,60461828,60297396,122.654,47.9,0,5.501,9.078,0,0,0.076,33.4,656891,638884,642964,756317,182.298
United Kingdom,67886004,66834405,108.45,40.8,1,5.009,9.087,0,0,0.268,34.07,606874,613309,600532,696705,133.313
France,65273512,67059887,99.212,42,0,5.031,9.092,0,0,0.234,29.3,604105,607786,611291,678259,106.597
Ukraine,43733759,44385155,44.087,41.4,0,2.206,8.929,0,0,0.059,25,574123,587665,581114,616835,81.407
Thailand,69799978,69625582,0.09,40.1,0,0.751,8.27,0,0,0.354,35.315,468911,473541,506211,501438,26.61
Spain,46754783,47076781,108.731,45.5,0,4.332,9.172,0,0,0.143,33.2,420589,423994,414914,501106,173.233
Poland,37846605,37970874,75.447,41.8,0,3.199,8.978,0,0,0.304,27.8,402533,411312,407624,485441,206.508
South Korea,51269183,51709098,1.789,43.4,0,1.607,8.228,1,0,0.112,35.5,284548,298030,294080,308318,31.266
Colombia,50882884,50339443,84.926,32.2,0,0.814,9.606,0,0,0.113,52,226799,236228,243648,301480,130.251
Taiwan Province of China,23816775,23780000,0.029,42.2,0,0.888,8.088,1,1,0.158,29.467,171242,172784,176296,173156,-1.196
Malaysia,32365998,31949777,1.455,29.9,0,0.714,8.415,1,0,0.443,41.04,168100,172100,173700,174300,9.329
Uzbekistan,33469199,33580650,1.834,28.2,0,1.141,8.62,0,0,0.435,39.7,160723,154913,154570,175637,56.381
Netherlands,17134873,17332850,67.26,43.2,0,5.574,9.06,0,0,0.522,27,149805,152991,151547,171175,114.468
Hungary,9660350,9769949,98.723,43.4,0,3.555,9.011,0,0,0.253,28.7,131293,130624,129266,142921,128.939
Greece,10423056,10716322,46.416,45.3,0,2.327,9.026,0,1,0.124,32.3,124069,119952,124538,132966,95.679
Czech Republic,10708982,10669709,108.133,43.3,0,4.817,9.025,0,0,0.29,24,111007,112604,112040,131440,182.952
Bulgaria,6948445,6975761,109.032,44.7,0,2.692,9.007,0,0,0.073,39.6,109330,108247,107849,126525,259.256
Portugal,10196707,10269417,67.728,46.2,0,3.224,9.207,0,0,0.248,32.1,109283,112692,111474,125500,140.235
Belgium,11589616,11484055,168.496,41.8,0,6.343,9.071,0,0,0.303,25.6,109278,110341,108436,128952,169.894
Chile,19116209,18952038,86.879,35.4,0,0.562,9.722,0,0,0.097,45.92,106045,106458,109079,127387,106.088
Serbia,6804596,6944975,47.189,41.2,0,3.134,9.015,0,1,0.221,37.8,103722,101655,102131,114954,181.116
